nonterminal,first set,follow set,nullable,endable
ADDOP,plus minus or,id intlit floatlit lpar not plus minus,no,yes
ARRAYSIZE2,intlit rsqbr,lsqbr semi rpar comma,no,no
CLASSDECL,class,eof class function,no,no
EXPR2,eq neq lt gt leq geq,semi comma rpar,yes,no
FACTOR2,lpar lsqbr,semi mult div and dot rsqbr eq neq lt gt leq geq plus minus or comma rpar,yes,no
FUNCDEF,function,eof class function,no,no
FUNCBODY,lcurbr,eof class function,no,no
FUNCHEAD,function,lcurbr,no,no
FUNCHEADTAIL,sr lpar,lcurbr,no,no
FUNCHEADMEMBERTAIL,id constructorkeyword,lcurbr,no,no
IDNEST2,lpar lsqbr,semi mult div and dot rsqbr eq neq lt gt leq geq plus minus or comma rpar,yes,no
ARRAYOROBJECT,lpar lsqbr,semi,yes,no
LOCALVARDECL,localvar,localvar id if while read write return rcurbr,no,no
MEMBERFUNCDECL,function constructorkeyword,public private rcurbr,no,no
MEMBERFUNCHEAD,function constructorkeyword,semi,no,no
FPARAMS,id,rpar,yes,no
MEMBERVARDECL,attribute,public private rcurbr,no,no
OPTINHERITS,isa,lcurbr,yes,no
ARITHEXPR,id intlit floatlit lpar not plus minus,semi rsqbr eq neq lt gt leq geq comma rpar,no,no
RELOP,eq neq lt gt leq geq,id intlit floatlit lpar not plus minus,no,no
APARAMSTAIL,comma,comma rpar,no,no
REPTAPARAMS1,comma,rpar,yes,no
REPTARRAYSIZE,lsqbr,semi,yes,no
REPTFPARAMS3,lsqbr,rpar comma,yes,no
FPARAMSTAIL,comma,comma rpar,no,no
REPTFPARAMS4,comma,rpar,yes,no
ARRAYSIZE,lsqbr,lsqbr semi rpar comma,no,no
REPTFPARAMSTAIL4,lsqbr,comma rpar,yes,no
REPTINHERITSLIST,comma,lcurbr,yes,no
LOCALVARORSTAT,localvar id if while read write return,localvar id if while read write return rcurbr,no,no
REPTLOCALVARORSTAT,localvar id if while read write return,rcurbr,yes,no
MEMBERDECL,attribute function constructorkeyword,public private rcurbr,no,no
REPTMEMBERDECL,public private,rcurbr,yes,no
CLASSDECLORFUNCDEF,class function,eof class function,no,no
REPTPROG0,class function,eof,yes,no
IDNEST,dot,semi mult div and dot rsqbr eq neq lt gt leq geq plus minus or comma rpar,no,no
REPTVARIABLEORFUNCTIONCALL,dot,semi mult div and rsqbr eq neq lt gt leq geq plus minus or comma rpar,yes,no
RETURNTYPE,void integer float id,semi lcurbr,no,no
RIGHTRECARITHEXPR,plus minus or,semi rsqbr eq neq lt gt leq geq comma rpar,yes,no
MULTOP,mult div and,id intlit floatlit lpar not plus minus,no,no
SIGN,plus minus,id intlit floatlit lpar not plus minus,no,no
START,eof class function,∅,no,no
PROG,class function,eof,yes,no
REPTSTATBLOCK1,id if while read write return,rcurbr,yes,no
STATEMENT,id if while read write return,else semi localvar id if while read write return rcurbr,no,no
RELEXPR,id intlit floatlit lpar not plus minus,rpar,no,no
STATBLOCK,lcurbr id if while read write return,else semi,yes,no
INDICE,lsqbr,semi mult div and lsqbr equal dot rsqbr eq neq lt gt leq geq plus minus or comma rpar,no,no
STATEMENTIDNEST2,dot,semi,yes,no
STATEMENTIDNEST3,dot equal,semi,no,no
ASSIGNOP,equal,id intlit floatlit lpar not plus minus,no,no
EXPR,id intlit floatlit lpar not plus minus,semi comma rpar,no,no
STATEMENTIDNEST,dot lpar lsqbr equal,semi,no,no
TERM,id intlit floatlit lpar not plus minus,semi rsqbr eq neq lt gt leq geq plus minus or comma rpar,no,no
FACTOR,id intlit floatlit lpar not plus minus,semi mult div and rsqbr eq neq lt gt leq geq plus minus or comma rpar,no,no
RIGHTRECTERM,mult div and,semi rsqbr eq neq lt gt leq geq plus minus or comma rpar,yes,no
TYPE,integer float id,rpar lcurbr comma lpar lsqbr semi,no,no
VARIABLE,id,rpar,no,no
VARIABLE2,lpar lsqbr dot,rpar,yes,no
REPTVARIABLE,dot,rpar,yes,no
VARIDNEST2,lpar lsqbr,rpar dot,yes,no
APARAMS,id intlit floatlit lpar not plus minus,rpar,yes,no
VARIDNEST,dot,rpar dot,no,no
REPTIDNEST1,lsqbr,equal semi mult div and dot rsqbr eq neq lt gt leq geq plus minus or comma rpar,yes,no
VISIBILITY,public private,attribute function constructorkeyword,no,no
