,$,private,public,rpar,lpar,id,dot,float,integer,semi,return,write,read,while,else,then,if,rcurbr,lcurbr,eof,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,isa,and,div,mult,colon,attribute,constructorkeyword,arrow,function,localvar,rsqbr,lsqbr,sr,not,floatlit,intlit,class,equal,or
ADDOP,,,,,,,,,,,,,,,,,,,,,ADDOP → minus SACT1,ADDOP → plus SACT1,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDOP → or SACT1
APARAMS,,,,APARAMS → &epsilon,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,,,,,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,
APARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,,APARAMSTAIL → comma EXPR,,,,,,,,,,,,,,,,,,,,,,,,,
ARITHEXPR,,,,,ARITHEXPR → SACT2 TERM RIGHTRECARITHEXPR SACT25,ARITHEXPR → SACT2 TERM RIGHTRECARITHEXPR SACT25,,,,,,,,,,,,,,,ARITHEXPR → SACT2 TERM RIGHTRECARITHEXPR SACT25,ARITHEXPR → SACT2 TERM RIGHTRECARITHEXPR SACT25,,,,,,,,,,,,,,,,,,,,,,ARITHEXPR → SACT2 TERM RIGHTRECARITHEXPR SACT25,ARITHEXPR → SACT2 TERM RIGHTRECARITHEXPR SACT25,ARITHEXPR → SACT2 TERM RIGHTRECARITHEXPR SACT25,,,
ARRAYOROBJECT,,,,,ARRAYOROBJECT → lpar APARAMS rpar,,,,,ARRAYOROBJECT → SACT2 REPTARRAYSIZE SACT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYOROBJECT → SACT2 REPTARRAYSIZE SACT3,,,,,,,
ARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE → lsqbr ARRAYSIZE2,,,,,,,
ARRAYSIZE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE2 → rsqbr,,,,,ARRAYSIZE2 → intlit SACT1 rsqbr,,,
ASSIGNOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSIGNOP → equal SACT1,
CLASSDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECL → class id SACT1 SACT2 OPTINHERITS SACT9 lcurbr REPTMEMBERDECL rcurbr semi,,
CLASSDECLORFUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECLORFUNCDEF → SACT2 FUNCDEF SACT8,,,,,,,,CLASSDECLORFUNCDEF → SACT2 CLASSDECL SACT5,,
EXPR,,,,,EXPR → SACT2 ARITHEXPR EXPR2 SACT26,EXPR → SACT2 ARITHEXPR EXPR2 SACT26,,,,,,,,,,,,,,,EXPR → SACT2 ARITHEXPR EXPR2 SACT26,EXPR → SACT2 ARITHEXPR EXPR2 SACT26,,,,,,,,,,,,,,,,,,,,,,EXPR → SACT2 ARITHEXPR EXPR2 SACT26,EXPR → SACT2 ARITHEXPR EXPR2 SACT26,EXPR → SACT2 ARITHEXPR EXPR2 SACT26,,,
EXPR2,,,,EXPR2 → &epsilon,,,,,,EXPR2 → &epsilon,,,,,,,,,,,,,,EXPR2 → &epsilon,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,,,,,,,,,,,,,,,,,,,
FACTOR,,,,,FACTOR → lpar ARITHEXPR rpar,FACTOR → id SACT1 FACTOR2 REPTVARIABLEORFUNCTIONCALL,,,,,,,,,,,,,,,FACTOR → SIGN SACT2 FACTOR SACT27,FACTOR → SIGN SACT2 FACTOR SACT27,,,,,,,,,,,,,,,,,,,,,,FACTOR → not SACT1 SACT2 FACTOR SACT27,FACTOR → floatlit SACT1,FACTOR → intlit SACT1,,,
FACTOR2,,,,FACTOR2 → REPTIDNEST1,FACTOR2 → lpar APARAMS rpar,,FACTOR2 → REPTIDNEST1,,,FACTOR2 → REPTIDNEST1,,,,,,,,,,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,,,,,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,,,,,,FACTOR2 → REPTIDNEST1
FPARAMS,,,,FPARAMS → &epsilon,,FPARAMS → SACT2 id SACT1 colon TYPE REPTFPARAMS3 REPTFPARAMS4 SACT10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,,FPARAMSTAIL → comma id SACT1 colon TYPE REPTFPARAMSTAIL4,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCBODY,,,,,,,,,,,,,,,,,,,FUNCBODY → lcurbr SACT2 REPTLOCALVARORSTAT SACT11 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF → FUNCHEAD FUNCBODY,,,,,,,,,,
FUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD → function id SACT1 FUNCHEADTAIL,,,,,,,,,,
FUNCHEADMEMBERTAIL,,,,,,FUNCHEADMEMBERTAIL → id SACT1 lpar FPARAMS rpar arrow RETURNTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEADMEMBERTAIL → constructorkeyword lpar FPARAMS rpar,,,,,,,,,,,,
FUNCHEADTAIL,,,,,FUNCHEADTAIL → lpar FPARAMS rpar arrow RETURNTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEADTAIL → sr FUNCHEADMEMBERTAIL,,,,,,
IDNEST,,,,,,,IDNEST → dot id IDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDNEST2,,,,IDNEST2 → REPTIDNEST1,IDNEST2 → lpar APARAMS rpar,,IDNEST2 → REPTIDNEST1,,,IDNEST2 → REPTIDNEST1,,,,,,,,,,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,,,,,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,,,,,,IDNEST2 → REPTIDNEST1
INDICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE → SACT2 lsqbr ARITHEXPR rsqbr SACT28,,,,,,,
LOCALVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECL → SACT2 localvar id SACT1 colon TYPE ARRAYOROBJECT semi SACT4,,,,,,,,,
LOCALVARORSTAT,,,,,,LOCALVARORSTAT → SACT2 STATEMENT SACT13,,,,,LOCALVARORSTAT → SACT2 STATEMENT SACT13,LOCALVARORSTAT → SACT2 STATEMENT SACT13,LOCALVARORSTAT → SACT2 STATEMENT SACT13,LOCALVARORSTAT → SACT2 STATEMENT SACT13,,,LOCALVARORSTAT → SACT2 STATEMENT SACT13,,,,,,,,,,,,,,,,,,,,,,,LOCALVARORSTAT → LOCALVARDECL,,,,,,,,,
MEMBERDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERDECL → SACT2 SACT1 MEMBERVARDECL SACT6,MEMBERDECL → SACT2 SACT1 MEMBERFUNCDECL SACT7,,MEMBERDECL → SACT2 SACT1 MEMBERFUNCDECL SACT7,,,,,,,,,,
MEMBERFUNCDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERFUNCDECL → MEMBERFUNCHEAD semi,,MEMBERFUNCDECL → MEMBERFUNCHEAD semi,,,,,,,,,,
MEMBERFUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERFUNCHEAD → constructorkeyword colon lpar FPARAMS rpar,,MEMBERFUNCHEAD → function id SACT1 colon lpar FPARAMS rpar arrow RETURNTYPE,,,,,,,,,,
MEMBERVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERVARDECL → attribute id SACT1 colon TYPE SACT2 REPTARRAYSIZE SACT3 semi,,,,,,,,,,,,,
MULTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MULTOP → and SACT1,MULTOP → div SACT1,MULTOP → mult SACT1,,,,,,,,,,,,,,,
OPTINHERITS,,,,,,,,,,,,,,,,,,,OPTINHERITS → &epsilon,,,,,,,,,,,,OPTINHERITS → isa id SACT1 REPTINHERITSLIST,,,,,,,,,,,,,,,,,,
PROG,,,,,,,,,,,,,,,,,,,,PROG → SACT2 REPTPROG0,,,,,,,,,,,,,,,,,,,PROG → SACT2 REPTPROG0,,,,,,,,PROG → SACT2 REPTPROG0,,
